k,f,e,lat,lon,alt,low,d_junction_m,d_major_junction_m,d_any_road_m,d_major_road_m,d_agri_edge_m,d_urban_edge_m,d_wood_edge_m,d_place_m,agri_inside,urban_inside,big_agri_near300,junction_300,junction_500,major_junction_500,major_road_300,any_road_150,agri_edge_300,wood_edge_300,urban_near500,place_near2000,road_agri_boundary,surface_boundary_300
c,3,9,50.89283,-0.54672,299,1,476.7843920636404,452.28535214024015,289.51941259396244,325.5042063273312,491.707334448675,258.5276753850291,166.4860738652466,439.04688618673805,0,0,0,0,1,1,0,0,0,1,1,1,0,1
t,3,10,50.9535,-0.92238,510,1,850.1030546832079,1646.6378991292256,795.0898631343377,1531.0155752254373,436.1090108627052,1177.7666869395127,252.0740865418659,3104.6261537263545,0,0,0,0,0,0,0,0,0,1,0,0,0,1
c,3,10,50.96837,-0.92773,749,1,162.8937827608877,1450.2899156109918,136.65890358835478,1450.2757548903373,77.71616325733902,604.7380029224771,145.92023039957596,1831.4270298294282,1,0,1,1,1,0,0,1,1,1,0,1,1,1
c,3,10,50.88745,-0.56475,547,1,754.9380859203139,754.9380859203139,380.984446096257,380.984446096257,490.4695744650906,719.0698155964963,6.722192683386476,1148.8425666926946,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,3,10,50.88933,-0.56058,547,1,765.3821095637255,413.15448516960225,171.94441329901207,171.94441329901207,288.6867909526955,380.5701591323392,24.868422790784887,791.4829110690772,0,0,1,0,0,1,1,0,1,1,1,1,0,1
t,3,11,50.9222,-0.73715,495,1,1334.4632061076445,1315.1937570071475,193.7728006534179,1250.8908832584145,56.2428622478198,1065.088886360542,56.24286224781981,1416.7563205573317,1,0,1,0,0,0,0,0,1,1,0,1,0,1
c,3,11,50.89033,-0.55672,472,1,514.9471195392844,198.05154871326047,170.14735523444094,170.14735523444094,370.9775334737065,245.53046659675647,50.93013009653941,530.7855047208944,0,0,0,0,0,1,1,0,0,1,1,1,0,1
c,3,11,50.88633,-0.5688,593,1,476.4807115588938,476.4807115588938,391.17680733233226,391.17680733233226,554.3697991847425,1007.5145205552598,18.77448508743543,1447.9301138573126,0,0,0,0,1,1,0,0,0,1,0,1,0,1
c,3,11,50.88507,-0.57282,662,1,291.629283702036,291.629283702036,81.3454865236706,81.3454865236706,606.5855388439508,1314.2488330976269,24.483842781216783,1758.476632460984,0,0,0,1,1,1,1,1,0,1,0,1,0,1
t,3,12,50.88473,-0.64965,998,0,1482.8742350286902,1104.8519974405165,978.7412445754509,1063.0919410107028,600.3801674803238,1280.9939608860136,38.33220612762558,1468.9748060037698,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,3,12,50.88317,-0.59783,1012,0,1033.5883512954442,1552.7327709137392,107.01403189523107,656.5709609820744,275.5795513512264,2564.6968806505465,93.80103716932183,3104.5245342445164,0,0,0,0,0,0,0,1,1,1,0,0,1,1
c,3,12,50.88345,-0.59247,950,0,1183.8976386758877,1183.8976386758877,31.471234327373452,402.73858549512585,111.8228244701458,2610.94309704577,173.7380547708637,3058.4293598120203,0,0,0,0,0,0,0,1,1,1,0,0,1,1
